0.a: (0,0,0)
0.b: (0,0)

1.a: (0,2,0)
1.b: (1,1)

2.a: (0,4,0)
2.b: (2,2)

3.a: (0,6,0)
3.b: (3,3)

4.a: (0,8,0)
4.b: (4,4)

5.a: (0,10,0)
5.b: (5,5)

6.a: (0,12,0)
6.b: (6,6)

7.a: (0,14,0)
7.b: (7,7)

8.a: (0,16,0)
8.b: (8,8)

9.a: (0,18,0)
9.b: (9,9)

10.a: (0,20,0)
10.b: (10,10)

11.a: (0,22,0)
11.b: (11,11)

12.a: (0,24,0)
12.b: (12,12)

13.a: (0,26,0)
13.b: (13,13)

14.a: (0,28,0)
14.b: (14,14)

15.a: (0,30,0)
15.b: (15,15)

16.a: (0,32,0)
16.b: (16,16)

17.a: (0,34,0)
17.b: (17,17)

18.a: (0,36,0)
18.b: (18,18)

19.a: (0,38,0)
19.b: (19,19)

20.a: (0,40,0)
20.b: (20,20)

21.a: (0,42,0)
21.b: (21,21)

22.a: (0,44,0)
22.b: (22,22)

23.a: (0,46,0)
23.b: (23,23)

24.a: (0,48,0)
24.b: (24,24)

25.a: (0,50,0)
25.b: (25,25)

26.a: (0,52,0)
26.b: (26,26)

27.a: (0,54,0)
27.b: (27,27)

28.a: (0,56,0)
28.b: (28,28)

29.a: (0,58,0)
29.b: (29,29)

